,model,RMSE_train,RMSE_test,AIC
1561,"(2, 1, 5),(3, 1, 4, 12)",28.5,79.86,2626.1895978533134
3075,"(4, 1, 1),(4, 1, 4, 12)",28.36,79.86,2622.45886265015
3243,"(4, 1, 4),(3, 1, 6, 12)",27.99,79.86,2624.801286726266
186,"(1, 0, 3),(5, 1, 7, 12)",27.14,79.87,2636.22957675887
4011,"(5, 1, 2),(4, 1, 4, 12)",28.3,79.87,2626.5198995227684
378,"(1, 0, 6),(5, 1, 6, 12)",27.42,79.87,2635.9497061368493
3004,"(4, 0, 7),(3, 1, 4, 12)",27.62,79.91,2640.8028414529895
1695,"(2, 1, 7),(3, 1, 7, 12)",28.13,79.92,2633.6957879660513
2454,"(3, 1, 5),(3, 1, 4, 12)",29.45,79.94,2653.87182971713
3376,"(4, 1, 6),(4, 1, 4, 12)",27.97,79.96,2632.555015517464
3645,"(5, 0, 3),(5, 1, 7, 12)",27.55,79.97,2655.4546642084315
3377,"(4, 1, 6),(4, 1, 5, 12)",28.41,79.99,2643.2528145505294
1203,"(2, 0, 6),(3, 1, 5, 12)",26.96,80.0,2623.013107619292
3842,"(5, 0, 6),(5, 1, 7, 12)",26.67,80.01,2634.3923887801257
1292,"(2, 0, 7),(5, 1, 6, 12)",27.19,80.01,2637.7721576726817
2969,"(4, 0, 6),(5, 1, 7, 12)",27.17,80.02,2641.721934944203
3998,"(5, 1, 2),(3, 1, 4, 12)",28.6,80.09,2626.416957499104
678,"(1, 1, 4),(5, 1, 4, 12)",28.34,80.14,2628.6202589068253
2698,"(4, 0, 2),(3, 1, 5, 12)",26.94,80.14,2618.5221374624425
3244,"(4, 1, 4),(3, 1, 7, 12)",28.0,80.15,2628.4017443034336
540,"(1, 1, 2),(3, 1, 7, 12)",28.23,80.16,2622.7136518636644
1591,"(2, 1, 5),(5, 1, 7, 12)",28.12,80.16,2630.2748284786358
1013,"(2, 0, 3),(3, 1, 4, 12)",28.14,80.17,2640.309581672243
3748,"(5, 0, 5),(3, 1, 5, 12)",27.16,80.2,2630.646585592862
2968,"(4, 0, 6),(5, 1, 6, 12)",27.54,80.21,2645.842468685
2572,"(3, 1, 7),(3, 1, 4, 12)",28.23,80.21,2628.8201835396903
660,"(1, 1, 4),(3, 1, 6, 12)",28.6,80.22,2627.6158103369853
1820,"(3, 0, 2),(3, 1, 4, 12)",27.42,80.23,2632.378027533234
1783,"(3, 0, 1),(5, 1, 6, 12)",27.3,80.25,2629.4201523443658
4064,"(5, 1, 3),(3, 1, 5, 12)",27.74,80.27,2620.1901377698277
4318,"(5, 1, 7),(4, 1, 5, 12)",27.95,80.27,2640.369511858681
1330,"(2, 1, 1),(3, 1, 4, 12)",28.52,80.28,2620.806495756674
3582,"(5, 0, 2),(5, 1, 6, 12)",27.13,80.3,2634.1619894458127
4305,"(5, 1, 7),(3, 1, 4, 12)",27.93,80.32,2629.092624435596
658,"(1, 1, 4),(3, 1, 4, 12)",28.57,80.34,2625.0248258528377
1909,"(3, 0, 3),(5, 1, 6, 12)",26.58,80.39,2624.546467378568
3332,"(4, 1, 5),(5, 1, 7, 12)",28.19,80.4,2634.3920642044495
2265,"(3, 1, 2),(3, 1, 5, 12)",28.48,80.41,2626.9684716000916
38,"(1, 0, 1),(3, 1, 7, 12)",26.99,80.41,2619.708080703486
787,"(1, 1, 6),(4, 1, 5, 12)",28.78,80.42,2634.6508154280236
1099,"(2, 0, 4),(5, 1, 6, 12)",27.42,80.42,2637.7138544537293
2389,"(3, 1, 4),(3, 1, 5, 12)",28.12,80.44,2622.152088554727
2104,"(3, 0, 6),(5, 1, 7, 12)",26.69,80.44,2631.3069124870044
124,"(1, 0, 2),(5, 1, 7, 12)",27.36,80.44,2627.714951686915
2170,"(3, 0, 6),(5, 1, 7, 12)",26.69,80.44,2631.3069124870044
3305,"(4, 1, 5),(3, 1, 5, 12)",29.1,80.48,2660.6632380899896
1333,"(2, 1, 1),(3, 1, 7, 12)",28.33,80.5,2622.460034521751
2141,"(3, 0, 6),(3, 1, 5, 12)",27.14,80.5,2626.518432770973
2075,"(3, 0, 6),(3, 1, 5, 12)",27.14,80.5,2626.518432770973
786,"(1, 1, 6),(4, 1, 4, 12)",28.78,80.55,2634.245967117309
1497,"(2, 1, 4),(3, 1, 5, 12)",27.95,80.56,2618.284188458889
2009,"(3, 0, 5),(3, 1, 6, 12)",26.78,80.58,2622.5908132808863
4063,"(5, 1, 3),(3, 1, 4, 12)",27.9,80.59,2618.6847841586978
680,"(1, 1, 4),(5, 1, 6, 12)",28.06,80.6,2626.5001436739676
4090,"(5, 1, 3),(5, 1, 7, 12)",27.78,80.61,2627.1322637224353
2205,"(3, 1, 1),(3, 1, 7, 12)",28.18,80.61,2624.803802157942
3030,"(4, 0, 7),(5, 1, 4, 12)",27.61,80.64,2638.996914989346
2760,"(4, 0, 3),(3, 1, 7, 12)",26.54,80.65,2620.209461964283
1445,"(2, 1, 3),(3, 1, 7, 12)",27.99,80.66,2623.442652987881
1496,"(2, 1, 4),(3, 1, 4, 12)",27.87,80.69,2615.4775643166345
844,"(1, 1, 7),(4, 1, 5, 12)",29.95,80.7,2661.481084210579
918,"(2, 0, 1),(5, 1, 6, 12)",27.26,80.71,2625.5030468716686
3253,"(4, 1, 4),(4, 1, 5, 12)",28.13,80.74,2628.4228355457944
1630,"(2, 1, 6),(3, 1, 7, 12)",28.11,80.75,2631.7278047713557
4189,"(5, 1, 5),(3, 1, 5, 12)",29.06,80.75,2644.761043938712
693,"(1, 1, 5),(1, 1, 5, 12)",29.9,80.76,2647.799907715793
2037,"(3, 0, 5),(5, 1, 6, 12)",27.12,80.77,2635.7333935375095
2816,"(4, 0, 4),(3, 1, 5, 12)",27.11,80.78,2625.8106160306197
1396,"(2, 1, 2),(3, 1, 7, 12)",28.18,80.79,2625.030454932451
3520,"(5, 0, 1),(5, 1, 7, 12)",26.55,80.8,2623.190261738222
2662,"(4, 0, 1),(5, 1, 6, 12)",27.19,80.81,2629.3470292459233
757,"(1, 1, 6),(1, 1, 5, 12)",29.88,80.82,2649.4524996483833
1271,"(2, 0, 7),(3, 1, 7, 12)",26.74,80.82,2628.1783679541695
3592,"(5, 0, 3),(1, 1, 2, 12)",29.03,80.83,2658.527451265085
3279,"(4, 1, 5),(1, 1, 5, 12)",29.8,80.83,2652.4798964716456
1885,"(3, 0, 3),(3, 1, 7, 12)",26.74,80.84,2621.004941112327
2817,"(4, 0, 4),(3, 1, 6, 12)",26.95,80.85,2625.3922517781107
2353,"(3, 1, 3),(5, 1, 7, 12)",27.81,80.88,2624.9723072523648
3276,"(4, 1, 5),(1, 1, 2, 12)",29.87,80.92,2655.2139969366935
3032,"(4, 0, 7),(5, 1, 6, 12)",26.77,80.93,2633.178877025262
778,"(1, 1, 6),(3, 1, 6, 12)",29.87,80.93,2657.8164967638463
